rowid,pl_hostname,pl_letter
1,11 Com,b
2,11 UMi,b
3,14 And,b
4,14 Her,b
5,16 Cyg B,b
6,18 Del,b
7,1RXS J160929.1-210524,b
8,24 Sex,b
9,24 Sex,c
10,2MASS J01225093-2439505,b
11,2MASS J02192210-3925225,b
12,2MASS J04414489+2301513,b
13,2MASS J12073346-3932539,b
14,2MASS J19383260+4603591,b
15,2MASS J21402931+1625183 A,b
16,2MASS J22362452+4751425,b
17,30 Ari B,b
18,4 UMa,b
19,42 Dra,b
20,47 UMa,b
21,47 UMa,c
22,47 UMa,d
23,51 Eri,b
24,51 Peg,b
25,55 Cnc,b
26,55 Cnc,c
27,55 Cnc,d
28,55 Cnc,e
29,55 Cnc,f
30,6 Lyn,b
31,61 Vir,b
32,61 Vir,c
33,61 Vir,d
34,7 CMa,b
35,70 Vir,b
36,75 Cet,b
37,8 UMi,b
38,81 Cet,b
39,91 Aqr,b
40,AB Pic,b
41,BD+03 2562,b
42,BD+14 4559,b
43,BD+15 2375,b
44,BD+15 2940,b
45,BD+20 1790,b
46,BD+20 2457,b
47,BD+20 2457,c
48,BD+20 274,b
49,BD+20 594,b
50,BD+48 738,b
51,BD+49 828,b
52,BD-06 1339,b
53,BD-06 1339,c
54,BD-08 2823,b
55,BD-08 2823,c
56,BD-10 3166,b
57,BD-11 4672,b
58,BD-13 2130,b
59,BD-17 63,b
60,CFBDSIR J145829+101343,b
61,CHXR 73,b
62,CT Cha,b
63,CoRoT-1,b
64,CoRoT-10,b
65,CoRoT-11,b
66,CoRoT-12,b
67,CoRoT-13,b
68,CoRoT-14,b
69,CoRoT-16,b
70,CoRoT-17,b
71,CoRoT-18,b
72,CoRoT-19,b
73,CoRoT-2,b
74,CoRoT-20,b
75,CoRoT-22,b
76,CoRoT-23,b
77,CoRoT-24,b
78,CoRoT-24,c
79,CoRoT-25,b
80,CoRoT-26,b
81,CoRoT-27,b
82,CoRoT-28,b
83,CoRoT-29,b
84,CoRoT-3,b
85,CoRoT-4,b
86,CoRoT-5,b
87,CoRoT-6,b
88,CoRoT-7,b
89,CoRoT-7,c
90,CoRoT-8,b
91,CoRoT-9,b
92,CoRoTID 223977153,b
93,DENIS-P J082303.1-491201,b
94,DH Tau,b
95,DP Leo,b
96,EPIC 211822797,b
97,EPIC 220674823,b
98,EPIC 220674823,c
99,FU Tau,b
100,Fomalhaut,b
